Dataset: Gulf of Mexico ,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Acanthostracion quadricornis,Scrawled cowfish,27.273,27.28,0.007,0.03,-24.078,-24.944,-0.866,3.6
Achelous gibbesii,Iridescent swimming crab,28.086,26.483,-1.603,-5.71,-27.831,-10.333,17.498,-62.87
Achelous spinicarpus,Longspine swimming crab,27.649,27.65,0.001,0,-61.25,-64.343,-3.093,5.05
Achelous spinimanus,Blotched swimming crab,26.843,25.628,-1.216,-4.53,-24.533,-6.123,18.411,-75.04
Aluterus schoepfii,Orange filefish,27.679,27.303,-0.375,-1.36,-23.592,-26.595,-3.003,12.73
Anasimus latus,Stilt spider crab,27.717,27.429,-0.288,-1.04,-72.41,-65.36,7.05,-9.74
Anchoa hepsetus,Striped anchovy,28.681,28.568,-0.113,-0.39,-28.826,-29.671,-0.846,2.93
Ancylopsetta quadrocellata,Ocellated flounder,28.559,28.848,0.289,1.01,-27.057,-29.709,-2.652,9.8
Balistes capriscus,Gray triggerfish,28.169,28.248,0.078,0.28,-29.892,-31.722,-1.83,6.12
Bellator militaris,Horned searobin,27.112,26.87,-0.242,-0.89,-64.24,-56.93,7.31,-11.38
Bothus robinsi,Twospot flounder,26.539,26.349,-0.19,-0.72,-21.181,-23.864,-2.682,12.66
Calamus proridens,Littlehead porgy,27.936,27.931,-0.006,-0.02,-23.469,-24.587,-1.118,4.76
Calappa sulcata,Yellow box crab,27.937,27.952,0.015,0.05,-51.318,-54.906,-3.588,6.99
Callinectes sapidus,Blue crab,28.678,28.84,0.162,0.57,-24.292,-23.608,0.685,-2.82
Callinectes similis,Lesser blue crab,28.062,28.084,0.022,0.08,-28.702,-24.041,4.661,-16.24
Centropristis ocyurus,Bank sea bass,28.412,29.531,1.119,3.94,-49.401,-47.329,2.073,-4.2
Centropristis philadelphica,Rock sea bass,28.419,28.197,-0.221,-0.78,-60.602,-60.795,-0.193,0.32
Chaetodon ocellatus,Spotfin butterflyfish,27.198,27.374,0.176,0.65,-35.463,-44.349,-8.886,25.06
Chilomycterus schoepfii,Striped burrfish,28.655,28.826,0.171,0.6,-35.016,-46.901,-11.885,33.94
Chloroscombrus chrysurus,Atlantic bumper,28.825,28.836,0.011,0.04,-16.245,-19.105,-2.86,17.61
Citharichthys macrops,Spotted whiff,27.422,27.92,0.498,1.82,-19.125,-23.358,-4.234,22.14
Citharichthys spilopterus,Bay whiff,28.857,28.532,-0.325,-1.13,-32.721,-27.16,5.561,-17
Cyclopsetta chittendeni,Mexican flounder,28.191,27.644,-0.547,-1.94,-45.919,-49.697,-3.778,8.23
Cyclopsetta fimbriata,Spotfin flounder,27.128,27.174,0.046,0.17,-29.135,-39.844,-10.709,36.76
Cynoscion arenarius,Sand weakfish,28.829,28.614,-0.215,-0.75,-38.329,-41.335,-3.006,7.84
Cynoscion nothus,Silver seatrout,28.481,28.609,0.128,0.45,-21.581,-22.388,-0.807,3.74
Decapterus punctatus,Round scad,28.337,28.161,-0.176,-0.62,-19.209,-30.501,-11.291,58.78
Diplectrum bivittatum,Dwarf sand perch,27.911,28.498,0.587,2.1,-27.174,-24.532,2.643,-9.72
Diplectrum formosum,Sand perch,27.538,27.496,-0.042,-0.15,-23.346,-21.389,1.957,-8.38
Doryteuthis sp,Inshore Squid sp.,27.959,27.521,-0.438,-1.57,-45.378,-43.054,2.324,-5.12
Epinephelus morio,Red grouper,26.966,26.96,-0.006,-0.02,-24.038,-29.632,-5.594,23.27
Eques lanceolatus,Jackknife-fish,27.373,27.344,-0.028,-0.1,-25.562,-31.221,-5.659,22.14
Etropus crossotus,Fringed flounder,28.527,28.672,0.145,0.51,-26.615,-20.348,6.267,-23.55
Eucidaris tribuloides,Slate pencil urchin,26.452,26.87,0.417,1.58,-25.478,-39.198,-13.72,53.85
Eucinostomus gula,Silver jenny,25.481,28.256,2.775,10.89,-3.672,-23.608,-19.935,542.83
Euvola marensis,Paper scallop,28.136,28.178,0.042,0.15,-71.606,-62.114,9.492,-13.26
Fowlerichthys radiosus,Singlespot frogfish,28.302,28.11,-0.192,-0.68,-63.893,-79.333,-15.44,24.17
Gymnothorax saxicola,Honeycomb moray,27.414,27.06,-0.355,-1.29,-46.44,-56.243,-9.803,21.11
Haemulon aurolineatum,Tomtate grunt,27.185,28.067,0.882,3.25,-24.453,-25.268,-0.814,3.33
Haemulon plumierii,White grunt,26.429,26.22,-0.208,-0.79,-7.4,-7.845,-0.444,6.01
Halieutichthys sp,Batfishes,27.788,27.451,-0.336,-1.21,-66.163,-58.406,7.758,-11.73
Harengula jaguana,Scaled sardine,28.469,28.641,0.171,0.6,-28.401,-38.804,-10.402,36.63
Hippocampus erectus,Lined seahorse,26.981,25.944,-1.037,-3.84,-41.909,-21.343,20.567,-49.07
Kathetostoma albigutta,Lancer stargazer,27.685,28.232,0.547,1.98,-78.136,-71.592,6.544,-8.38
Lagocephalus laevigatus,Smooth puffer,28.087,28.044,-0.043,-0.15,-39.175,-37.582,1.592,-4.06
Lagodon rhomboides,Pinfish,26.451,27.753,1.303,4.92,-13.583,-35.764,-22.181,163.3
Larimus fasciatus,Banded drum,28.319,27.856,-0.463,-1.64,-20.52,-19.719,0.801,-3.9
Leiolambrus nitidus,White elbow crab,28.268,27.716,-0.551,-1.95,-61.137,-46.842,14.295,-23.38
Leiostomus xanthurus,Spot,28.912,28.895,-0.016,-0.06,-29.507,-27.696,1.811,-6.14
Lepophidium brevibarbe,Blackedge cusk-eel,28.055,28.168,0.113,0.4,-50.263,-50.419,-0.156,0.31
Lepophidium jeannae,Mottled cusk-eel,27.437,27.457,0.019,0.07,-51.522,-53.403,-1.881,3.65
Lolliguncula brevis,Atlantic brief squid,28.655,28.587,-0.068,-0.24,-19.594,-20.322,-0.728,3.71
Luidia clathrata,Lined sea star,29.129,28.257,-0.872,-2.99,-16.93,-25.949,-9.019,53.27
Lutjanus campechanus,Red snapper,28.396,28.158,-0.239,-0.84,-54.267,-49.942,4.325,-7.97
Lutjanus griseus,Gray snapper,26.615,26.789,0.174,0.66,-22.641,-29.271,-6.63,29.28
